Date,bitcoin_time,bitcoin_high,bitcoin_low,bitcoin_open,bitcoin_volumefrom,bitcoin_volumeto,bitcoin_close,bitcoin_conversionType,bitcoin_top_tier_volume_quote,bitcoin_top_tier_volume_base,bitcoin_top_tier_volume_total,bitcoin_cccagg_volume_quote,bitcoin_cccagg_volume_base,bitcoin_cccagg_volume_total,bitcoin_total_volume_quote,bitcoin_total_volume_base,bitcoin_total_volume_total,bitcoin_volume,S&P 500 Real Estate.csv_Open,S&P 500 Real Estate.csv_High,S&P 500 Real Estate.csv_Low,S&P 500 Real Estate.csv_Close,S&P 500 Real Estate.csv_Volume,S&P 500 Real Estate.csv_Dividends,S&P 500 Real Estate.csv_Stock Splits,S&P 500 Real Estate.csv_Capital Gains
2018.10.11,2018.10.11,6581.59,6171.95,6581.07,104258.49,654924117.8,6209.47,direct,1044912101.0,1443875454.0,2488787617.0,1817744538.0,2344576961.0,4162321436.0,3942752156.0,7991912211.0,11934664366.0,8114941371.0,26.48980983328837,26.514785084442657,25.607371601185925,25.665645599365234,9558500,0.0,0.0,0.0
2018.10.12,2018.10.12,6296.56,6173.86,6209.47,46195.91,289840137.5,6250.85,direct,675167997.9,795261203.3,1470429264.0,1353554058.0,1656743411.0,3010297470.0,2751788005.0,5099122199.0,7850910204.0,6026966306.0,25.81548909860652,26.04026155338144,25.515792492239942,25.64899063110352,5288200,0.0,0.0,0.0
2018.10.15,2018.10.15,7234.83,6244.77,6277.73,177320.05,1190524168.0,6612.36,direct,1051322127.0,2402778482.0,3454100609.0,1956324564.0,3529519931.0,5485844495.0,3978804997.0,11019973369.0,14998778365.0,9767471974.0,25.64066856612748,26.048589700725937,25.6073698214168,25.807167053222656,3894500,0.0,0.0,0.0
2018.10.16,2018.10.16,6724.91,6545.54,6612.69,49191.34,324232509.8,6583.05,direct,697706068.4,1028505647.0,1726211716.0,1349109070.0,1716990640.0,3066099710.0,2747603390.0,5693448287.0,8441051678.0,5645999375.0,25.84047083240589,26.369100185570545,25.74889649350456,26.290014266967773,3272200,0.0,0.0,0.0
2018.10.17,2018.10.17,6589.2,6511.6,6583.05,33538.55,220418636.6,6574.52,direct,832159152.5,883751580.6,1715910733.0,1547877507.0,1604817913.0,3152695420.0,3156854330.0,4827522109.0,7984376505.0,5764987847.0,26.25671330837177,26.369097966669724,26.023615732531848,26.215087890625,3449400,0.0,0.0,0.0
2018.10.18,2018.10.18,6616.27,6445.05,6576.4,50725.31,331761115.5,6488.72,direct,747296928.0,895539328.2,1642836321.0,1331670597.0,1545791933.0,2877462530.0,2726217020.0,4772526623.0,7498743643.0,5464297757.0,26.20676139385776,26.45234578785473,26.115188655447646,26.2234115600586,3345200,0.0,0.0,0.0
2018.10.19,2018.10.19,6503.09,6449.36,6489.37,36599.64,237855085.4,6469.28,direct,549079428.4,899345396.7,1448424825.0,1040463424.0,1452305358.0,2492768782.0,2185406561.0,4418729203.0,6604135764.0,4691560995.0,26.248386077117942,26.581381452608987,26.248386077117942,26.48980712890625,2999900,0.0,0.0,0.0
2018.10.22,2018.10.22,6531.23,6460.38,6509.87,31239.03,202766914.4,6483.23,direct,798549228.8,847055329.3,1645604558.0,1347464474.0,1502087500.0,2849551974.0,2816948264.0,4231281097.0,7048229361.0,5092953970.0,26.556408826637817,26.63549632777234,26.106865422291108,26.115190505981445,4269600,0.0,0.0,0.0
2018.10.23,2018.10.23,6496.2,6438.99,6484.32,34071.62,220913293.6,6470.22,direct,800685842.9,1034835017.0,1835520860.0,1335583136.0,1623146305.0,2958729441.0,2776134268.0,4581839384.0,7357973652.0,5218237800.0,26.04026382319709,26.39823286019112,25.940364416418085,26.28168487548828,5159700,0.0,0.0,0.0
2018.10.24,2018.10.24,6538.35,6465.73,6470.63,34111.66,222068131.8,6476.25,direct,738060132.2,978278168.6,1716338301.0,1266043149.0,1502930255.0,2768973404.0,2633340329.0,4353373201.0,6986713530.0,4843159554.0,26.32331200989288,26.81447922945386,26.273361509315983,26.58970832824707,5443600,0.0,0.0,0.0
2018.10.25,2018.10.25,6497.9,6432.3,6476.52,35706.92,231214964.0,6462.77,direct,651332243.3,1020175517.0,1671507825.0,1149953238.0,1672006687.0,2821959990.0,2417835873.0,5342321310.0,7760157247.0,4957812734.0,26.64797694236645,27.047574538696857,26.5231054722456,26.906049728393555,5413800,0.0,0.0,0.0
2018.10.26,2018.10.26,6514.0,6441.81,6462.77,33284.54,215447656.4,6457.21,direct,603481031.6,882589607.6,1486070639.0,1308734021.0,1512527378.0,2821261399.0,2712779496.0,4450409800.0,7163189296.0,4909335144.0,26.78950739831234,26.82280773430664,26.065240968910462,26.206764221191406,8951600,0.0,0.0,0.0
2018.10.29,2018.10.29,6483.39,6282.58,6470.74,53760.53,342463526.5,6313.91,direct,773835082.6,1208052776.0,1981887795.0,1439539910.0,1869464460.0,3309004371.0,2978154540.0,6047030369.0,9025184845.0,5962422586.0,26.39823720174809,26.76453455756473,26.39823720174809,26.6396598815918,6143200,0.0,0.0,0.0
2018.10.30,2018.10.30,6340.68,6286.3,6314.38,42701.22,269592154.1,6309.11,direct,640742296.8,960032410.8,1600774771.0,1300592490.0,1801182388.0,3101774878.0,2714718677.0,5048475501.0,7763194178.0,5784379050.0,26.672959304509074,27.26402597570883,26.606358632753984,27.08087730407715,7427400,0.0,0.0,0.0
2018.10.31,2018.10.31,6391.25,6241.49,6309.11,38823.41,245357244.5,6342.61,direct,712508701.3,1130109442.0,1842618143.0,1471430847.0,1819435904.0,3290866814.0,3063708139.0,5133139475.0,8196847551.0,6098820495.0,27.08087273429805,27.08087273429805,26.656304638435227,26.71457862854004,4202400,0.0,0.0,0.0
2018.11.12,2018.11.12,6435.41,6350.87,6408.18,28338.62,181575610.9,6375.08,direct,809432305.0,534269635.7,1343701941.0,1703334037.0,1207431418.0,2910765519.0,3455266712.0,4034128821.0,7489395533.0,6488790963.0,27.580374172106644,27.88007085835996,27.580374172106644,27.630321502685547,2861900,0.0,0.0,0.0
2018.11.13,2018.11.13,6389.43,6315.58,6375.08,35761.27,227689745.7,6339.17,direct,848654291.8,606111562.0,1454765854.0,1588067696.0,1308170075.0,2896237771.0,3235236234.0,4550577939.0,7785814173.0,6362360395.0,27.63031701008776,27.76351516279888,27.48046869132594,27.68859100341797,6307600,0.0,0.0,0.0
2018.11.14,2018.11.14,6375.7,5469.93,6339.17,178422.8,1045469380.0,5741.47,direct,1397837750.0,2227650112.0,3625487862.0,2282151361.0,3207069049.0,5489220410.0,4615666257.0,10763408473.0,15379074729.0,10617959239.0,27.788497569203365,27.788497569203365,27.5387513797767,27.68027305603028,4369000,0.0,0.0,0.0
2018.11.15,2018.11.15,5767.06,5300.75,5740.51,147895.07,820864014.0,5647.5,direct,1070550774.0,1840878527.0,2911429301.0,2041392168.0,3002395052.0,5043787220.0,4279585027.0,10412593034.0,14692178118.0,19564699479.0,27.5720446406431,27.62199514173708,27.197423821674857,27.463823318481445,7158900,0.0,0.0,0.0
