Date,bitcoin_time,bitcoin_high,bitcoin_low,bitcoin_open,bitcoin_volumefrom,bitcoin_volumeto,bitcoin_close,bitcoin_conversionType,bitcoin_top_tier_volume_quote,bitcoin_top_tier_volume_base,bitcoin_top_tier_volume_total,bitcoin_cccagg_volume_quote,bitcoin_cccagg_volume_base,bitcoin_cccagg_volume_total,bitcoin_total_volume_quote,bitcoin_total_volume_base,bitcoin_total_volume_total,bitcoin_volume,S&P 500 Technology.csv_Open,S&P 500 Technology.csv_High,S&P 500 Technology.csv_Low,S&P 500 Technology.csv_Close,S&P 500 Technology.csv_Volume,S&P 500 Technology.csv_Dividends,S&P 500 Technology.csv_Stock Splits,S&P 500 Technology.csv_Capital Gains
2019.10.30,2019.10.30,9441.8,9018.3,9432.86,34376.01,315824657.2,9169.86,direct,630467122.0,1802129111.0,2432596233.0,1920405358.0,4375096736.0,6295502094.0,6191426200.0,15007204802.0,21198631002.0,11437450104.0,79.91504289669113,80.25975251249118,79.37883118559625,80.16400146484375,12779300,0.0,0.0,0.0
2019.10.31,2019.10.31,9423.16,8972.0,9169.86,35891.86,329788397.2,9157.52,direct,508387323.5,1734659197.0,2243046520.0,1675034584.0,4478448160.0,6153482744.0,5387351342.0,15000312174.0,20387663516.0,10645257018.0,80.28847418641912,80.37465523991406,79.59905497980513,80.11611938476562,11230900,0.0,0.0,0.0
2019.11.11,2019.11.11,9084.49,8619.78,9045.85,25750.4,226035620.3,8726.31,direct,860345053.6,1736631592.0,2596976646.0,1506600301.0,2643885885.0,4150486186.0,5850009407.0,13231909183.0,19081918590.0,6892355356.0,81.99286418844807,82.61525690762505,81.88753585264875,82.50035858154297,4244000,0.0,0.0,0.0
2019.11.12,2019.11.12,8868.85,8576.09,8726.31,22305.54,194901130.1,8815.14,direct,904768163.0,1742276543.0,2647044706.0,1612424066.0,2642185360.0,4254609426.0,6161660506.0,12733057270.0,18894717775.0,7091855411.0,82.61526051894657,83.08444575007526,82.41418113417714,82.77803802490234,8281200,0.0,0.0,0.0
2019.11.13,2019.11.13,8840.33,8721.68,8815.14,15828.57,138900524.5,8773.82,direct,749940948.4,1247796537.0,1997737485.0,1501773357.0,2290515384.0,3792288741.0,5519627183.0,10664983911.0,16184611095.0,6137757981.0,82.45248146647086,83.03657232308504,82.4333268747551,82.95996856689453,7686100,0.0,0.0,0.0
2019.11.14,2019.11.14,8811.04,8584.92,8773.82,18999.7,164630654.0,8640.42,direct,947581468.8,1452386170.0,2399967639.0,1528316194.0,2478109005.0,4006425112.0,1.53e+19,2.25e+21,2.26e+21,6517370392.0,82.63440808811772,82.93123849202621,82.40459683476685,82.86421203613281,6091300,0.0,0.0,0.0
2019.11.15,2019.11.15,8773.4,8393.29,8640.42,31281.14,267441968.2,8468.57,direct,951618461.4,2058364950.0,3009983412.0,1470810483.0,3227294963.0,4698105446.0,5733300055.0,14144976847.0,19878276902.0,7787651072.0,83.44830349222298,83.53447723388672,83.18976765656006,83.53447723388672,7062400,0.0,0.0,0.0
2019.11.18,2019.11.18,8537.87,8075.63,8515.28,30048.32,250358969.4,8190.16,direct,966000952.1,1966661269.0,2932662221.0,1582618524.0,3497691204.0,5080309810.0,5610821527.0,13667902729.0,19278724256.0,8147238893.0,83.50575650251005,83.90791525948327,83.18977149117272,83.78343963623047,6511100,0.0,0.0,0.0
2019.11.19,2019.11.19,8215.95,8016.54,8190.16,24402.6,198180594.4,8133.57,direct,934735322.5,1715496390.0,2650231712.0,1597247296.0,3146311486.0,4743558782.0,5291875107.0,12400906957.0,17692782064.0,7957681142.0,84.11857520125223,84.19517895946167,83.63981267044791,83.94622039794922,7043700,0.0,0.0,0.0
2019.11.20,2019.11.20,8232.23,8047.73,8133.57,18105.11,147086043.4,8093.6,direct,879292831.7,1431277161.0,2310569993.0,1337251301.0,2868292442.0,4205543743.0,4928779745.0,11696969624.0,16625749369.0,6809937558.0,83.75471333737916,84.0036718841173,82.8067656281363,83.43872833251953,12379900,0.0,0.0,0.0
2019.11.21,2019.11.21,8133.73,7437.33,8093.6,45760.44,354377783.3,7632.59,direct,1010135276.0,2446730909.0,3456866186.0,1678422722.0,4290122905.0,5968545704.0,6025298285.0,15850030567.0,21875328852.0,9905194588.0,83.27594610591868,83.37169713989245,82.84505549503328,83.01741027832031,9377700,0.0,0.0,0.0
2019.11.22,2019.11.22,7721.9,6815.03,7632.59,94065.31,680349857.2,7292.2,direct,1248514115.0,4694044998.0,5942559114.0,2155445686.0,6992146388.0,9147592147.0,7193465946.0,23767626284.0,30961092230.0,15366451916.0,83.25679607225513,83.39084898822175,82.58653149242205,82.9120864868164,5890000,0.0,0.0,0.0
2019.11.25,2019.11.25,7386.06,6560.13,6930.09,85742.76,596056755.8,7138.23,direct,1127488068.0,4439339403.0,5566827472.0,1831340317.0,6235746151.0,8067086397.0,6206868441.0,22145691365.0,28352559806.0,13479110072.0,83.28554146705632,84.11858367919922,83.25680957582966,84.11858367919922,7369900,0.0,0.0,0.0
2019.11.26,2019.11.26,7350.44,7042.5,7138.23,36264.64,259675008.7,7170.11,direct,869985512.0,2511097927.0,3381083439.0,1300232623.0,3852794795.0,5153027418.0,4570109951.0,15327812094.0,19897922045.0,8364993846.0,84.16645058919654,84.40583184382717,84.03239767103028,84.19517517089844,9727200,0.0,0.0,0.0
2019.11.27,2019.11.27,7681.51,6873.1,7170.11,66406.48,485895588.3,7531.5,direct,1090972646.0,3247247950.0,4338220595.0,1858043343.0,5068364725.0,6926408068.0,5916262802.0,18851178882.0,24767441609.0,11046758486.0,84.45371098471074,84.66436767578125,84.20475971829721,84.66436767578125,9348500,0.0,0.0,0.0
2019.11.29,2019.11.29,7872.17,7425.49,7442.33,37243.54,285280637.6,7769.38,direct,660331260.3,2297660191.0,2957991373.0,1306911961.0,3880669424.0,5187581385.0,4647055285.0,15208108084.0,19855163447.0,8314109179.0,84.44412985382387,84.57818276585076,84.2717750661699,84.4154052734375,5680100,0.0,0.0,0.0
2019.12.10,2019.12.10,7403.64,7176.42,7350.62,23348.59,170419385.8,7233.84,direct,801219250.3,1597560867.0,2398780117.0,1421425110.0,2670071976.0,4091497086.0,4596707242.0,11069775791.0,15666483033.0,6796759234.0,83.72598489008517,84.09941904028123,83.44830177487914,83.6589584350586,6175400,0.0,0.0,0.0
2019.12.11,2019.12.11,7284.74,7167.13,7233.84,19799.94,143267855.5,7212.01,direct,566150285.5,1182599148.0,1748749434.0,1101688906.0,1971448225.0,3073137203.0,4004572766.0,9327467496.0,13332040262.0,5488444040.0,83.87917505351228,84.30048832348444,83.70682028900866,84.22388458251953,4939500,0.0,0.0,0.0
2019.12.12,2019.12.12,7307.96,7105.35,7212.01,28003.83,201666958.3,7199.39,direct,557081166.9,1360255986.0,1917337153.0,1053997535.0,2149887745.0,3203885281.0,4134293048.0,9875682311.0,14009975287.0,6243703087.0,83.98452052389676,85.24845328662241,83.7834411417968,85.12397766113281,12094700,0.0,0.0,0.0
2019.12.13,2019.12.13,7308.08,7199.39,7199.39,18725.31,135777984.6,7261.72,direct,559219538.3,1188183540.0,1747403078.0,891458841.0,1868532562.0,2759991403.0,3777412620.0,8932859914.0,12710272534.0,5117561448.0,85.03780170782376,85.88042847039239,84.87502419426818,85.68891906738281,13128100,0.0,0.0,0.0
2019.12.16,2019.12.16,7172.46,6869.19,7132.39,39619.58,278223344.1,6897.33,direct,679889613.4,1546806675.0,2226696289.0,1181592017.0,2478805978.0,3660398064.0,4753851308.0,11107962013.0,15861813321.0,7359631199.0,86.34002753652997,86.75176357893325,86.32088025086898,86.4549331665039,9872300,0.0,0.0,0.0
2019.12.17,2019.12.17,6948.12,6585.46,6897.33,46023.51,310739632.4,6635.84,direct,735352069.5,2056591278.0,2791943348.0,1233016977.0,2651598849.0,3884615892.0,4755139956.0,12384513382.0,17139653271.0,7304470490.0,86.60812475435789,86.64642662720662,86.13893959629752,86.25384521484375,7459700,0.0,0.0,0.0
2019.12.18,2019.12.18,7442.26,6450.69,6635.84,71573.09,491429584.5,7294.53,direct,830775480.6,3566702898.0,4397478378.0,1435975280.0,4395484346.0,5831459699.0,7027691351.0,19140226612.0,26167917890.0,10362343214.0,86.3591835860161,86.57941024884882,86.21555337245695,86.24427795410156,6485100,0.0,0.0,0.0
2019.12.19,2019.12.19,7376.98,7057.66,7294.53,34799.1,249541907.2,7159.26,direct,588886506.3,1889832153.0,2478718731.0,1018924211.0,2686068727.0,3704992938.0,4921793583.0,12842304214.0,17764097868.0,6487062044.0,86.30172515543876,86.87624599661439,86.27300057444717,86.86666870117188,6862000,0.0,0.0,0.0
2019.12.20,2019.12.20,7234.56,7094.06,7159.26,23556.25,168963964.6,7203.41,direct,514526178.0,1207047392.0,1721573642.0,879308589.2,1875031271.0,2754339860.0,3755652965.0,9814871448.0,13570524413.0,5193622593.0,87.38061836731109,87.47668178631326,87.15006469587206,87.37100982666016,11700400,0.295,0.0,0.0
2019.12.23,2019.12.23,7694.65,7275.28,7517.58,44770.93,336425000.1,7326.6,direct,529954444.9,2212908900.0,2742863345.0,1081667793.0,3120082284.0,4201750077.0,4433160738.0,15122468803.0,19555629542.0,7572795813.0,87.63999039513841,87.84172575706936,87.51510136453703,87.62077331542969,7765200,0.0,0.0,0.0
2019.12.24,2019.12.24,7429.42,7175.5,7326.6,27770.75,203013413.9,7260.91,direct,462578417.3,1797692620.0,2260271038.0,964446780.4,2684993757.0,3649440610.0,3988941375.0,13058134395.0,17047075770.0,6011291851.0,87.77448620649545,87.77448620649545,87.44786179323592,87.64959716796875,2445400,0.0,0.0,0.0
2019.12.26,2019.12.26,7442.21,7167.44,7202.72,23254.3,169067214.3,7207.23,direct,450612956.6,1459257300.0,1909870256.0,843198918.9,2419572625.0,3262771544.0,3617524377.0,11884769838.0,15502294287.0,5805584919.0,87.83213288743157,88.32206589905525,87.77449629635929,88.30284881591797,4134600,0.0,0.0,0.0
2019.12.27,2019.12.27,7267.46,7061.61,7207.23,25489.38,183588691.2,7253.82,direct,505688963.0,1514311090.0,2020000053.0,906597003.8,2138616404.0,3045213407.0,3842172549.0,11026607077.0,14868779626.0,5290628891.0,88.65828734959852,88.65828734959852,88.07229093764182,88.29324340820312,9666100,0.0,0.0,0.0
2019.12.30,2019.12.30,7414.07,7224.79,7399.49,23030.92,168180498.7,7234.44,direct,486225554.9,1164252247.0,1650477730.0,994763714.3,1519597233.0,2514360947.0,4008311222.0,8968390724.0,12976701946.0,5014443208.0,88.27401342209694,88.28362196180444,87.11162930921276,87.7840805053711,8245600,0.0,0.0,0.0
2019.12.31,2019.12.31,7325.24,7141.94,7234.44,19424.26,140384995.3,7183.88,direct,509108285.4,1046401518.0,1555509804.0,934988519.3,1681635173.0,2616623693.0,3740026778.0,8798321542.0,12538348320.0,5106483872.0,87.48628007106676,88.15873125442047,87.37099958427687,88.06266784667969,5800900,0.0,0.0,0.0
2020.10.12,2020.10.12,11725.28,11223.99,11375.51,41705.77,478557074.7,11539.76,direct,1218374092.0,4008883775.0,5227257867.0,1144406539.0,3134813193.0,4279219731.0,4000270152.0,11815969118.0,15816239269.0,10015678971.0,118.34896320471708,120.60045615583408,117.75697516374984,119.81437683105467,9581900,0.0,0.0,0.0
2020.10.13,2020.10.13,11561.69,11314.56,11539.76,33529.75,383360256.7,11427.29,direct,1037238772.0,3578866332.0,4616105104.0,1005567809.0,2863413989.0,3868981685.0,3519746218.0,10645725871.0,14165471975.0,8992243746.0,120.20256205880436,120.41606690503612,118.5915763311338,119.04769897460938,8806900,0.0,0.0,0.0
2020.10.14,2020.10.14,11550.25,11298.88,11427.29,22758.2,259711904.0,11429.3,direct,962829490.8,3216973183.0,4179802674.0,925116343.8,2583374394.0,3508490738.0,3311844145.0,9789351460.0,13101195491.0,8604468271.0,119.33885278004928,119.96966058385216,117.53377563272812,118.41690063476562,7267000,0.0,0.0,0.0
2020.10.15,2020.10.15,11607.59,11269.05,11429.3,33044.49,377801262.9,11508.31,direct,1004355417.0,3742122523.0,4746477940.0,972794222.0,3018840200.0,3991634422.0,3539951092.0,10707816354.0,14247767446.0,8786205819.0,116.456554219513,118.11605922864808,116.14600370442533,117.88314819335938,6592500,0.0,0.0,0.0
2020.10.16,2020.10.16,11545.35,11224.89,11508.31,29300.16,332320579.3,11326.25,direct,1051197191.0,3819661379.0,4870858570.0,953056707.0,2840605265.0,3793661859.0,3601153212.0,10733948513.0,14335101725.0,8616141371.0,118.53336502567213,119.00889389367796,117.43673511256642,117.54348754882812,5772100,0.0,0.0,0.0
2020.10.19,2020.10.19,11821.95,11417.11,11513.33,39224.67,456404609.8,11756.88,direct,886623002.3,3581644140.0,4468267142.0,848121924.4,2939665351.0,3787787275.0,3200072130.0,10643159105.0,13843231235.0,7788245105.0,118.135465807972,118.58188168422954,115.02995343680831,115.38903045654295,8308200,0.0,0.0,0.0
