공시일,종목코드,종목명,시장구분,직접/신탁,취득/처분,취득(처분)예정기간_시작일,취득(처분)예정기간_종료일,신고내역_수량,신고내역_금액,체결내역(누계)_수량,체결내역(누계)_체결수량비율,체결내역(누계)_금액
2018/08/17,062860,티엘아이,KOSDAQ,신탁,처분,2018/08/17,2019/08/19,0,5000000000,300000.0,0.0,1350000000.0
2018/08/17,062860,티엘아이,KOSDAQ,신탁,취득,2018/08/17,2019/02/18,0,5000000000,907999.0,0.0,4592954440.0
2018/08/17,062860,티엘아이,KOSDAQ,신탁,취득,2018/08/17,2020/08/19,0,5000000000,308905.0,0.0,1228236930.0
2018/08/20,099190,아이센스,KOSDAQ,신탁,취득,2018/08/20,2019/02/19,0,3000000000,141237.0,0.0,2968776700.0
2018/08/20,023460,CNH,KOSDAQ,직접,취득,2018/08/21,2018/11/20,740000,1000000000,516217.0,69.76,673475295.0
2018/08/20,069920,아이에스이커머스,KOSDAQ,직접,취득,2018/08/21,2018/11/20,735000,2499000000,735000.0,100.0,3051600080.0
2018/08/20,260660,알리코제약,KOSDAQ,신탁,취득,2018/08/20,2019/02/19,0,2000000000,87968.0,0.0,1076433350.0
2018/08/21,226440,한송네오텍,KOSDAQ,신탁,취득,2018/08/21,2019/02/21,0,2000000000,1182160.0,0.0,1994165640.0
2018/08/23,177350,베셀,KOSDAQ,신탁,취득,2018/08/27,2019/02/26,0,2000000000,429955.0,0.0,1977014370.0
2018/08/29,083310,엘오티베큠,KOSDAQ,신탁,취득,2018/08/29,2019/02/28,0,2000000000,212016.0,0.0,1992102300.0
2018/08/31,003380,하림지주,KOSDAQ,신탁,취득,2018/09/01,2019/02/28,0,7000000000,414857.0,0.0,4702772500.0
2018/09/04,023150,MH에탄올,KOSPI,직접,취득,2018/09/05,2018/11/30,111474,600844860,111474.0,100.0,650880120.0
2018/09/04,069080,웹젠,KOSDAQ,직접,취득,2018/09/05,2018/12/04,248760,5000076000,248760.0,100.0,4940749300.0
2018/09/05,055550,신한지주,KOSPI,신탁,취득,2018/09/10,2019/09/09,0,200000000000,4667856.0,0.0,200000001300.0
2018/09/05,145020,휴젤,KOSDAQ,직접,취득,2018/09/06,2018/12/04,40000,17784000000,40000.0,100.0,17099812200.0
2018/09/05,260930,씨티케이,KOSDAQ,신탁,취득,2018/09/06,2019/09/05,0,10000000000,444591.0,0.0,9918203150.0
2018/09/10,241790,티이엠씨씨엔에스,KOSDAQ,직접,취득,2018/09/11,2018/10/11,132979,1000002080,75153.0,56.51,620713730.0
2018/09/10,122640,예스티,KOSDAQ,신탁,취득,2018/09/10,2019/03/09,0,3000000000,311700.0,0.0,2996320260.0
2018/09/10,084670,동양고속,KOSPI,신탁,취득,2018/09/10,2019/03/29,0,5000000000,164202.0,0.0,4516931000.0
2018/09/10,084670,동양고속,KOSPI,신탁,취득,2018/09/10,2019/04/30,0,5000000000,12817.0,0.0,345120200.0
2018/09/12,001060,JW중외제약,KOSPI,직접,취득,2018/09/13,2018/12/12,221240,10000048000,221240.0,100.0,9079614900.0
2018/09/14,004700,조광피혁,KOSPI,신탁,취득,2018/09/14,2019/03/14,0,3000000000,39628.0,0.0,1450854550.0
2018/09/17,052790,액토즈소프트,KOSDAQ,신탁,취득,2018/09/17,2019/03/16,0,3000000000,173969.0,0.0,2100710150.0
2018/09/17,052790,액토즈소프트,KOSDAQ,신탁,취득,2018/09/17,2019/06/17,0,3000000000,64187.0,0.0,895665150.0
2018/09/17,091340,S&K폴리텍,KOSDAQ,직접,취득,2018/09/18,2018/12/17,494438,2000000000,494438.0,100.0,2221887130.0
2018/09/19,108230,톱텍,KOSDAQ,직접,취득,2018/09/20,2018/12/19,1388888,20000000000,1388888.0,100.0,17257156850.0
2018/09/19,216050,인크로스,KOSDAQ,신탁,취득,2018/09/19,2019/03/18,0,5000000000,307640.0,0.0,5010627650.0
2018/09/19,031310,아이즈비전,KOSDAQ,신탁,취득,2018/09/20,2019/03/19,0,1000000000,206432.0,0.0,987378070.0
2018/09/19,250000,보라티알,KOSDAQ,신탁,취득,2018/09/19,2019/09/18,0,1000000000,144197.0,0.0,978231410.0
2018/09/19,250000,보라티알,KOSDAQ,신탁,취득,2018/09/19,2020/09/18,0,1000000000,85309.0,0.0,885225700.0
2018/09/20,026960,동서,KOSPI,직접,취득,2018/09/21,2018/12/20,300000,6180000000,300000.0,100.0,6035064850.0
2018/09/20,049430,코메론,KOSDAQ,신탁,취득,2018/09/20,2019/09/19,0,5000000000,279045.0,0.0,2108029550.0
2018/09/20,091700,파트론,KOSDAQ,직접,취득,2018/09/21,2018/12/20,500000,3620000000,500000.0,100.0,3831131460.0
2018/09/20,070590,한솔인티큐브,KOSDAQ,직접,취득,2018/09/21,2018/12/14,420000,777000000,420000.0,100.0,870047400.0
2018/09/20,049430,코메론,KOSDAQ,신탁,취득,2018/09/20,2020/09/18,0,5000000000,333242.0,0.0,2600299410.0
2018/09/21,065450,빅텍,KOSDAQ,직접,취득,2018/09/22,2018/12/21,500000,1310000000,500000.0,100.0,1247827740.0
2018/09/21,041930,동아화성,KOSDAQ,신탁,취득,2018/09/21,2019/03/20,0,1000000000,284558.0,0.0,991038445.0
2018/09/21,016250,SGC E&C,KOSDAQ,신탁,취득,2018/09/21,2019/03/21,0,5000000000,52464.0,0.0,4956128400.0
2018/10/01,090460,비에이치,KOSPI,신탁,취득,2018/10/01,2019/03/31,0,10000000000,519046.0,0.0,9994229650.0
2018/10/02,099410,동방선기,KOSDAQ,신탁,처분,2018/10/02,2019/10/01,0,500000000,267173.0,0.0,598438305.0
2018/10/02,090460,비에이치,KOSPI,신탁,취득,2018/10/02,2019/04/01,0,15000000000,814373.0,0.0,14997293300.0
2018/10/02,099410,동방선기,KOSDAQ,신탁,취득,2018/10/02,2019/04/01,0,500000000,267173.0,0.0,496275285.0
2018/10/02,080010,이상네트웍스,KOSDAQ,신탁,취득,2018/10/02,2019/10/02,0,2500000000,204183.0,0.0,1688507030.0
2018/10/02,073110,엘엠에스,KOSDAQ,신탁,취득,2018/10/04,2019/04/03,0,5000000000,724882.0,0.0,4987319470.0
2018/10/02,080010,이상네트웍스,KOSDAQ,신탁,취득,2018/10/02,2020/10/02,0,2500000000,61775.0,0.0,456324550.0
2018/10/02,080010,이상네트웍스,KOSDAQ,신탁,취득,2018/10/02,2022/10/05,0,2500000000,66505.0,0.0,362360670.0
2018/10/04,099440,스맥,KOSDAQ,신탁,취득,2018/10/04,2019/04/03,0,3000000000,977093.0,0.0,2992435335.0
2018/10/05,219750,지티지웰니스,KOSDAQ,신탁,취득,2018/10/05,2019/04/04,0,2000000000,183847.0,0.0,1982015800.0
2018/10/05,050540,엠피씨플러스,KOSDAQ,직접,처분,2018/10/08,2018/10/12,317864,1074380320,296137.0,93.16,835842295.0
2018/10/05,060980,HL홀딩스,KOSPI,직접,취득,2018/10/08,2019/01/07,216000,8100000000,197018.0,91.21,8100007900.0
2018/10/08,089030,테크윙,KOSDAQ,신탁,취득,2018/10/08,2019/04/07,0,2000000000,170674.0,0.0,1991688250.0
