,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,top_tier_volume_quote,top_tier_volume_base,top_tier_volume_total,cccagg_volume_quote,cccagg_volume_base,cccagg_volume_total,total_volume_quote,total_volume_base,total_volume_total,volume
2526,2020-04-29,8952.44,7733.02,7760.32,157978.19,1324299206.24,8784.96,direct,,1533125830.67,8165334193.85,9698460024.52,2506102494.17,10102156169.89,12608258664.07,10660770780.24,35669623952.92,46330394733.16,23628043262.58
2527,2020-04-30,9460.77,8416.64,8784.96,161267.28,1439132256.65,8637.56,direct,,1488405422.94,9969754977.59,11458160314.16,2468760450.01,11608337078.35,14077097614.74,10388789098.62,39571789588.6,49960578687.22,25786011219.11
2528,2020-05-01,9066.47,8631.39,8637.56,70407.63,620133839.66,8829.12,direct,,1380669885.58,4834574040.62,6215243926.2,1971283979.37,5988300314.02,7959584205.09,9035376807.45,24458140129.81,33493516937.26,14959263835.05
2529,2020-05-02,9013.29,8768.81,8829.12,36139.66,321429140.42,8981.11,direct,,793991105.74,3370638334.63,4164629440.37,1363684647.32,4572306811.13,5935991458.45,7667134539.17,20110897938.2,27778032477.37,11406613500.03
2530,2020-05-03,9197.48,8735.78,8981.11,59476.78,534161419.79,8907.19,direct,,826707479.07,4814198311.7,5640905790.76,1562897599.34,6160894627.54,7723792226.88,8313648616.65,25020680788.03,33334329404.68,14199046796.86
2531,2020-05-04,8968.9,8537.49,8907.19,64835.52,568639005.2,8881.65,direct,,980216196.93,4681991106.95,5662207303.88,1729481427.85,6174491017.24,7903972356.27,8515481064.09,24737167760.89,33252648824.98,15837929429.4
2532,2020-05-05,9119.13,8781.58,8881.65,60185.36,538111122.64,9029.75,direct,,905335557.25,4312630993.78,5217966641.32,1515749727.36,5699796719.95,7215546447.31,7879702077.53,23614821893.82,31494523971.34,13311999677.53
2533,2020-05-06,9408.99,8924.06,9029.75,88912.83,818515486.36,9153.2,direct,,998725789.04,5355727431.96,6354453221.0,1700146305.82,7470365232.88,9170511538.69,8411992261.93,27325338391.04,35737330744.5,15673906453.88
2534,2020-05-07,10064.33,9042.52,9153.2,125991.41,1213223439.69,9999.93,direct,,1450239948.25,8045490481.17,9495730429.42,2327447407.75,10444054191.11,12771501598.86,10465766339.12,35833409164.38,46299175503.5,20989559472.06
2535,2020-05-08,10041.73,9728.64,9999.93,91540.3,907665361.58,9808.18,direct,,1296090274.37,5721592289.07,7017682563.43,1974855857.33,7468858941.51,9443714896.93,9040846551.63,28054328328.56,37095174880.19,17003431717.71
2536,2020-05-09,9912.22,9525.77,9808.18,59814.44,580103588.21,9541.13,direct,,1294991432.2,4717644740.81,6012636173.01,1904687958.17,8457468968.03,10362156926.2,8810479519.5,28790916976.99,37601396496.49,17842298847.89
2537,2020-05-10,9556.85,8228.22,9541.13,133597.2,1159765920.88,8735.05,direct,,1226223611.13,8209216761.3,9435440372.43,1966302993.5,12041729033.25,14008032026.75,9351185486.8,39873185666.53,49224371153.33,24205372547.89
2538,2020-05-11,9164.84,8228.58,8735.05,144898.27,1259789388.45,8568.88,direct,,1131270992.53,7811746702.21,8943017694.73,1815061704.0,10750427303.2,12565489007.2,8238726709.06,35829022982.97,44067749692.03,20414733985.18
2539,2020-05-12,8975.74,8541.95,8568.88,66073.43,580579256.62,8821.18,direct,,994721509.45,4572693649.24,5567415070.48,1384343326.76,5885685979.44,7270029306.2,7111400849.04,23265972338.33,30377373187.36,12532350811.03
2540,2020-05-13,9407.67,8807.57,8821.18,68248.72,622255318.55,9317.44,direct,,901043407.9,4882381792.92,5783425293.99,1250999279.87,7027509635.77,8278508915.64,47425447775.62,27121508193.72,74546955969.34,13278810458.88
2541,2020-05-14,9937.97,9263.29,9317.44,97176.37,936692997.58,9793.19,direct,,1163459568.11,7077731045.05,8241190515.23,1643570218.21,9907636841.82,11551207060.03,8180070237.12,34422605801.82,42602676038.94,17874300541.83
2542,2020-05-15,9841.71,9149.13,9793.19,84280.62,798930933.92,9311.69,direct,,1023231909.81,6162132281.94,7185364191.75,1417907890.46,8360877710.59,9778785601.05,7116566166.94,28523487516.95,35640053683.88,14777365695.53
2543,2020-05-16,9584.9,9224.32,9311.69,37023.76,348262438.61,9387.08,direct,,849941800.23,3544544135.77,4394485936.01,1190265410.48,5126815227.37,6317080637.85,6460933884.02,19002592526.64,25463526410.67,10413283376.88
2544,2020-05-17,9885.55,9334.23,9387.08,52271.64,505834872.59,9670.56,direct,,768569690.11,4145421512.07,4913991298.89,1103718323.1,5925246303.25,7028964626.36,6341366631.83,21412442063.62,27753808695.45,11046072409.78
2545,2020-05-18,9943.74,9476.37,9670.56,62325.78,606235218.3,9722.73,direct,,961691364.03,4511470393.13,5473161854.38,1345367401.84,6187108529.74,7532475931.58,7069552741.13,22081545088.43,29151097829.57,12762168473.35
2546,2020-05-19,9890.69,9471.96,9722.73,60720.68,587660019.81,9780.2,direct,,871825023.57,4139552390.49,5011377414.06,1186904631.38,6055447896.96,7242352528.34,6748674634.48,22134516365.34,28883190999.82,11843122817.9
2547,2020-05-20,9832.94,9323.82,9780.2,61892.78,593918718.08,9509.45,direct,,850340534.48,3407668710.07,4258009244.55,1155080559.37,6017567978.09,7172648537.46,6406226712.06,20613253911.53,27019480623.59,11685694003.83
2548,2020-05-21,9566.81,8811.54,9509.45,87116.97,798218781.95,9059.11,direct,,963735480.31,4123054163.12,5086789643.44,1353448246.31,7226020471.0,8579468717.31,6807399360.26,23473012723.04,30280412083.3,13848024420.38
2549,2020-05-22,9265.04,8936.82,9059.11,44400.9,405255700.32,9170.74,direct,,1001755329.26,2643313570.72,3645068899.97,1408274424.66,5014437835.79,6422712168.74,6955321602.55,17522927534.94,24478249137.49,11650838884.59
2550,2020-05-23,9311.34,9101.08,9170.74,23636.66,217819517.42,9186.19,direct,,805823610.23,1975760141.62,2781583751.85,1066856639.89,3860930486.84,4927787126.73,5983486220.25,14675411521.92,20658897742.17,8572417654.73
