price_1month,price_3month,price_6month,종목코드,공시일
15665,12923,12725,247540,2019-05-16
37850,28300,34100,271980,2019-05-16
7130,8700,11850,066310,2019-05-16
3525,2660,3040,009460,2019-05-17
14500,12900,12750,004650,2019-05-20
15800,14550,17450,035600,2019-05-20
11300,8920,8880,065130,2019-05-22
11550,9220,9100,033920,2019-05-22
4130,3533,3302,109610,2019-05-23
28197,31709,33466,218410,2019-05-27
11263,9061,11587,092040,2019-05-28
4785,5210,4240,000910,2019-05-29
8240,7650,7500,033160,2019-05-29
11900,10000,10200,078520,2019-05-29
17300,12050,11300,108490,2019-05-29
2525,2835,2480,047400,2019-05-30
15514,12150,12893,003000,2019-05-30
5350,4505,4740,263860,2019-05-31
87000,83900,80400,120030,2019-05-31
6739,5622,8407,260660,2019-06-03
7100,6840,6090,089970,2019-06-03
6244,5688,4444,241690,2019-06-03
2243,2085,2203,067010,2019-06-04
10313,7867,7356,067990,2019-06-10
8234,7132,7693,038070,2019-06-11
54400,53200,51900,001725,2019-06-14
59200,56200,53100,001720,2019-06-14
78200,69800,78300,039490,2019-06-17
35450,35500,38400,086790,2019-06-18
15150,15150,14700,036530,2019-06-19
4240,4715,5230,004310,2019-06-28
4130,4105,4235,038010,2019-06-28
61800,61200,59100,306200,2019-07-05
21798,21433,20612,293480,2019-07-09
21798,21433,20612,293480,2019-07-09
21798,21433,20612,293480,2019-07-09
21798,21433,20612,293480,2019-07-09
90000,96200,89000,251270,2019-07-09
3065,3075,4440,080220,2019-07-10
4355,6390,7800,137400,2019-07-10
6630,6360,9110,051360,2019-07-12
9814,8857,9150,091120,2019-07-15
4770,4620,3655,037350,2019-07-15
57900,56600,56200,004890,2019-07-16
24093,23537,24422,053580,2019-07-17
6430,4435,3635,005360,2019-07-17
6430,4435,3635,005360,2019-07-17
5770,5390,5000,108790,2019-07-18
8370,8310,8370,025770,2019-07-19
13800,14750,12350,194370,2019-07-19
6809,6075,7948,263700,2019-07-22
9800,10000,9290,000050,2019-07-23
1685,1880,1900,011330,2019-07-24
21700,19700,19650,099320,2019-07-24
6050,6090,6190,023150,2019-07-24
11667,11895,15400,200780,2019-07-25
21296,20339,20521,293480,2019-07-26
21296,20339,20521,293480,2019-07-26
21296,20339,20521,293480,2019-07-26
21296,20339,20521,293480,2019-07-26
78600,82500,75300,003650,2019-07-26
8610,8290,7730,068930,2019-07-29
2485,2230,1870,217620,2019-07-29
8910,8610,8160,050120,2019-07-30
56842,53302,51316,148140,2019-07-30
733,944,1394,084650,2019-07-30
3675,3690,3480,192390,2019-07-30
4280,4340,4375,037440,2019-07-30
17800,19450,16750,049960,2019-07-31
3430,3490,3920,054540,2019-08-06
13250,13800,11450,067080,2019-08-06
4772,5753,6075,006620,2019-08-06
2455,2850,2970,059210,2019-08-06
9020,8980,7980,067390,2019-08-06
9462,9369,11221,072990,2019-08-06
21707,21159,21707,293480,2019-08-06
21707,21159,21707,293480,2019-08-06
21707,21159,21707,293480,2019-08-06
21707,21159,21707,293480,2019-08-06
12600,11900,8530,038540,2019-08-06
5780,5670,6100,040160,2019-08-07
4040,4365,4720,177830,2019-08-07
5930,5780,6280,058730,2019-08-07
7506,10854,9976,175250,2019-08-08
5100,4815,3830,087600,2019-08-08
7089,7693,8436,038070,2019-08-08
14542,14447,16897,216050,2019-08-08
5817,7677,11601,122310,2019-08-08
77100,77400,80200,069960,2019-08-08
14600,16550,15800,080160,2019-08-09
2120,2005,2110,101060,2019-08-09
13030,13594,12812,272450,2019-08-12
2845,2720,2900,203450,2019-08-12
379440,356130,352310,048260,2019-08-12
379440,356130,352310,048260,2019-08-12
3430,3075,4145,052460,2019-08-12
13200,11250,10500,005990,2019-08-13
2135,2145,2120,017900,2019-08-13
3230,3060,3290,035200,2019-08-13
116000,128000,112500,139480,2019-08-13
31872,33698,37558,181710,2019-08-16
21661,20703,22300,293480,2019-08-19
21661,20703,22300,293480,2019-08-19
21661,20703,22300,293480,2019-08-19
21661,20703,22300,293480,2019-08-19
7450,7430,6900,047560,2019-08-20
24500,31850,40600,236200,2019-08-20
63000,64600,54300,000070,2019-08-20
371810,340860,315430,048260,2019-08-21
371810,340860,315430,048260,2019-08-21
7855,8346,12500,083310,2019-08-21
50200,49500,39250,145990,2019-08-22
19850,16550,16100,950180,2019-08-22
7750,7290,5790,097870,2019-08-26
5983,7112,5856,006730,2019-08-28
1470,1810,1750,023460,2019-08-28
3935,4305,3395,017000,2019-08-28
57900,52000,38400,081660,2019-08-28
4520,3430,3000,005360,2019-08-29
4520,3430,3000,005360,2019-08-29
29700,22550,31300,033640,2019-08-29
11700,11125,8875,035080,2019-08-29
8910,9280,7980,053690,2019-08-30
11250,9200,8100,014970,2019-08-30
