1m_rv,1w_rv,1y_rv,2w_rv,3m_rv,6m_rv,Date
36.5788471367543,49.1716682064355,96.5383045700535,36.7223444210563,56.1269857324418,57.2260918527508,2018-10-16
35.9857605225352,49.118908834605,96.527658995027,36.2777393596254,54.8990220080224,57.1858686532851,2018-10-17
34.8405645039472,36.918869144938,96.4208011976449,35.6990352297892,52.2669492421165,57.148253441379,2018-10-18
34.8801122770866,36.9308087586854,96.2913943257834,35.9611650326088,52.2589169666709,57.0715982080951,2018-10-19
34.633886996856,36.7774451081669,96.2373352890147,35.9000582151176,52.1989124347109,56.9137070131027,2018-10-20
32.1227844955765,36.7752950656578,96.0783870038312,36.119569545135,52.1515231353273,56.5174343514418,2018-10-21
31.4484314662233,21.2924844743282,96.0298159844231,35.9260040530535,52.0693959380142,56.4801752816276,2018-10-22
31.3819817506,11.6711502703643,96.0102946964305,35.7841617851447,51.6654084208096,56.4764248160379,2018-10-23
31.1854487039447,11.6800999271304,95.9203814243669,35.7068478005341,50.5566182842608,56.0742528485504,2018-10-24
29.2323078468219,11.302859943136,95.8691689623649,27.8979723196956,49.9517741056326,55.7944217530524,2018-10-25
28.8599812210074,8.87810028967622,95.7261244954664,27.1045308426862,49.8615348890941,55.3485794449667,2018-10-26
28.4859754919619,8.75564588178532,95.6868198209027,27.0283271532901,49.5104168800643,54.9968319305928,2018-10-27
26.9943918830157,6.81020643798237,95.6761295832604,26.955971675879,49.1949453302195,54.9417079517391,2018-10-28
26.6870112001934,11.8780066198269,95.6244753003236,17.246058789724,49.2487297184275,54.870999971769,2018-10-29
27.0202858203416,15.2558879924549,95.5113298389218,13.5855336412667,49.2897065947733,54.8895074120705,2018-10-30
26.5849345817592,14.3675057293343,95.467366114383,13.2948322737184,48.9449317703949,54.7397622664949,2018-10-31
26.784304960482,17.0372383173707,95.3745234972168,14.4874492825947,48.0815461335802,54.5853975985565,2018-11-01
26.8814230080481,17.7751295644635,95.1078890200732,14.2493769416738,48.06141296046,54.5470033838565,2018-11-02
26.5530316139794,17.7795934037878,95.0240616884398,14.2297387853049,47.6793900567144,54.3433314755603,2018-11-03
26.0888464979293,17.7798371319579,95.0044899600389,13.5809794249429,46.8584243337551,54.0743055501455,2018-11-04
26.5056148514551,17.904253875656,94.9569161109515,15.3238649831557,46.067924631473,54.0350695306172,2018-11-05
26.4823269030951,13.7306581941836,94.8771404182573,15.3417629605283,45.9826184805373,53.926537223509,2018-11-06
26.9919055887851,15.8090959248952,94.8576668811146,17.0151937862701,45.93405419922,53.7971519442551,2018-11-07
26.9918544649051,16.920248093827,94.765277553561,17.4740461877866,42.9664010915146,53.7697022451094,2018-11-08
27.1155753329008,18.1738396139908,94.717676682399,18.2728279003053,42.4943079971817,53.6961196164053,2018-11-09
27.0359898539225,18.407214875517,94.5905815093209,18.3750130399051,42.03083853871,53.6135696832204,2018-11-10
22.6585551494925,18.4050140719619,94.3871143401895,18.4484565527968,40.9234328454926,52.8786886288746,2018-11-11
22.2398091295431,15.8395551119695,94.0333135298534,16.9396213700004,40.5956945179258,52.5692937552904,2018-11-12
22.3159067369469,15.9694517072724,93.8073656162196,15.2957451742894,40.5249500564303,52.4846063681286,2018-11-13
30.5502556656428,42.4419359091547,93.8318899417917,34.5670626237357,41.2199876555393,53.1265970705368,2018-11-14
42.6717145667937,76.0294542755872,94.0855833525692,59.3626882444478,44.610116142357,54.7662640310369,2018-11-15
41.9986947557436,77.6121922598452,93.9058904566249,59.6977244885354,44.6283724605068,54.4625469884414,2018-11-16
42.0476233878114,76.8444413045058,93.703823068447,59.5518922967712,44.4566280768727,54.4409781017837,2018-11-17
42.3712430098372,78.8578863557946,93.6807506262279,60.3073223093556,44.3701843224022,54.3334742652095,2018-11-18
48.9216985621364,87.8373424751789,93.9584057295357,68.2009612952074,46.6809538090311,55.2500567775059,2018-11-19
65.5229053097333,111.657800120347,94.8449139184636,90.3162707607254,53.6238898732608,58.303912588773,2018-11-20
67.4175907746796,113.145211549675,94.9764202276184,91.4624899188534,54.537860732197,58.6722942813529,2018-11-21
67.9768529249496,106.190041058751,94.9908444727388,92.7768595102341,54.1357075887999,58.681191232284,2018-11-22
69.2913174251661,104.21926970875,95.1192922468195,93.44129312555,54.6655958601669,58.5915806485166,2018-11-23
70.2274435131912,107.592295642255,95.1847984471039,94.8121321116455,54.9619119095008,58.5806095559475,2018-11-24
79.8918204246296,117.853839365089,95.8925799357735,105.860481998025,59.6378174022357,61.0390145411258,2018-11-25
82.8284365546759,129.775093872262,95.7833199136857,111.629780314205,60.8098741096819,61.5635934920599,2018-11-26
83.8780319055795,110.11380886149,95.7106243977249,111.916765177348,61.5564431663468,61.9233668483594,2018-11-27
91.8396796308377,133.558883366535,96.1616961106026,126.887633377225,64.1395452194862,63.4309986224391,2018-11-28
94.4767778435492,139.891472587485,96.0564017903039,125.881986652676,65.083863636965,63.7972895268913,2018-11-29
95.6678641654638,140.41740799084,95.8482697273681,127.124429437902,65.7426263473344,63.9670932045793,2018-11-30
98.882427600195,143.804768668448,95.6613080382134,130.593101162565,66.779317843216,64.535088666291,2018-12-01
99.8380138684821,112.404809328286,95.3059743633469,131.771076250625,67.0009212456051,64.6636530771959,2018-12-02
100.582258073028,113.519521034287,95.3191991519117,129.296846268666,67.5903667946123,64.9888028090052,2018-12-03
100.668505887984,108.584474891378,95.3071305575021,120.104111130469,67.6704560594495,65.0406167869165,2018-12-04
102.676114932391,92.9887677203176,95.410574275207,117.502637216718,67.7854984421873,65.1990865569316,2018-12-05
103.663874742707,81.7157891289433,95.0817457438866,119.83203998381,65.1316838986048,65.3008226026484,2018-12-06
106.715924422791,96.8791397274852,93.536679521495,126.652963859868,67.6787163916766,66.6167405786186,2018-12-07
107.288799715979,87.591458774878,92.9394620958801,126.033622759776,67.7311219819991,66.6751497459014,2018-12-08
109.28045263374,93.8863413110076,92.8997174218626,111.437933702742,68.1149301605445,66.959985066842,2018-12-09
109.87172823438,95.4129229481795,92.5001125886424,107.898232883663,68.330097416485,66.4033169130232,2018-12-10
109.787356012058,91.036305332116,91.4581411400742,105.221407929893,68.5042714847144,65.9694800554528,2018-12-11
110.134339859275,86.4981597126277,91.3875490607854,89.8058263586118,68.6373588480804,65.9888553243823,2018-12-12
110.227673434831,83.2678027315634,91.3353465643441,82.7783465968676,68.5034003350795,65.7743530418759,2018-12-13
108.940198706734,57.1824652857328,91.3553449052969,80.175092334294,68.6943308807492,65.7918287676091,2018-12-14
104.680471768866,55.8024734034165,91.1787560433305,73.5560717704511,68.7093568939593,65.7469764572455,2018-12-15
105.006661606034,46.6772584646238,90.9910761156149,71.4520773903353,68.8449961925051,65.7664540982733,2018-12-16
107.238556674546,56.4832247861134,90.8522079125617,75.5350186994459,69.5982848941615,66.1322522522616,2018-12-17
109.946227589858,67.4517271145527,91.0218175925004,81.4260913848759,70.6312979198109,66.6393787059715,2018-12-18
111.30161903474,79.0506232470419,91.2410253625058,86.7004202727687,72.1452801813958,67.2115435725918,2018-12-19
103.618033152172,80.1847496287011,91.0082735244797,88.5209728166493,73.1294996650027,67.7093381397619,2018-12-20
103.593851578561,75.6534442824829,91.0274678678047,74.5774693458624,73.3974690362677,68.0520359955102,2018-12-21
104.103459619976,81.9256344771434,89.3988392060619,77.997244165018,73.6143245031799,67.6902596519167,2018-12-22
103.309839866319,81.2210794878723,88.6631251852677,77.052390996178,73.9830221897544,67.4650644166697,2018-12-23
103.343020083934,77.84647416004,88.2857650672281,76.6483111987334,74.4514346591536,67.5939985470313,2018-12-24
98.1863810881083,105.938609938052,88.5984206402701,89.0139221945152,76.1483462074235,68.4870975748934,2018-12-25
96.1011879618593,96.230080077765,88.0981059914257,88.7302172704759,76.1182263856909,68.4728906306295,2018-12-26
